GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_008E,,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_007E,S0101_C02_008E,,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0500000US01035,"Conecuh County, Alabama",12697,787,1549,482,1067,8.4,5,4.9,,2577,6028,295,790,235,9.5,5.3,5,,1163,6669,487,767,247,7.4,4.8,4.7,,1414
0500000US01037,"Coosa County, Alabama",10864,489,1108,391,967,8.9,3.9,5.1,,2032,5355,203,557,118,11.4,2.7,4.6,,916,5509,286,556,275,6.4,5,5.6,,1113
0500000US01039,"Covington County, Alabama",37729,2188,4678,1471,2905,7.7,5.6,5.7,,7621,18219,1130,2441,765,8.2,5.6,5.7,,3188,19510,1073,2244,683,7.3,5.6,5.7,,4429
0500000US01041,"Crenshaw County, Alabama",13896,834,1793,556,1167,8.4,5.6,5.1,,2432,6863,508,920,281,9.2,5.7,4.5,,1036,7033,316,879,267,7.6,5.6,5.7,,1393
0500000US01043,"Cullman County, Alabama",81316,4879,10246,3090,6749,8.3,6.2,5.8,,14474,40200,2452,5226,1648,8.3,6.7,6.1,,6271,41116,2426,5016,1480,8.2,5.7,5.5,,8182
0500000US01045,"Dale County, Alabama",49607,3274,6449,2034,4514,9.1,7.2,7.2,,7639,24443,1687,3275,1002,9.8,7.8,7.7,,3324,25164,1585,3171,1007,8.4,6.7,6.8,,4328
0500000US01047,"Dallas County, Alabama",41426,2651,5882,1906,3935,9.5,6,5.7,,6504,19128,1320,2965,937,9.8,6,5.4,,2716,22298,1316,2899,981,9.3,5.9,5.9,,3768
0500000US01049,"DeKalb County, Alabama",70937,4327,10144,3050,5959,8.4,5.9,6.1,,10995,35134,2249,5305,1546,8.7,6.1,6.1,,4848,35803,2112,4833,1504,8.1,5.8,6.1,,6194
0500000US01051,"Elmore County, Alabama",80957,4776,10524,3319,7448,9.2,6.5,6.9,,11253,39347,2518,5312,1613,10.1,6.5,6.7,,5115,41610,2247,5160,1664,8.4,6.6,7,,6117
0500000US01053,"Escambia County, Alabama",37875,2273,4772,1401,3674,9.7,5.8,6,,6325,19390,1066,2346,679,9.9,6.8,6.5,,2773,18485,1183,2422,721,9.5,4.7,5.6,,3549
0500000US01055,"Etowah County, Alabama",103363,5788,12714,4238,8889,8.6,5.7,5.7,,17985,50007,3000,6451,2250,9,5.9,5.7,,7651,53356,2775,6296,2028,8.3,5.6,5.8,,10298
0500000US01057,"Fayette County, Alabama",16783,923,1913,772,1376,8.2,5.2,5.5,,3273,8311,532,1014,366,8.2,5.6,6,,1446,8472,398,898,407,8.2,4.7,5.1,,1830
0500000US01059,"Franklin County, Alabama",31573,2115,4294,1263,2968,9.4,5.7,6.1,,5052,15553,1120,2209,622,10.4,5.8,6.5,,2240,16020,977,2099,641,8.4,5.7,5.8,,2820
0500000US01061,"Geneva County, Alabama",26765,1499,3426,1017,2034,7.6,5.5,6,,5085,13072,745,1791,497,8.3,5.3,6,,2235,13693,739,1643,520,6.8,5.7,6,,2834
0500000US01063,"Greene County, Alabama",8587,515,1099,378,635,7.4,7.1,5.8,,1546,4092,270,565,201,7.6,8.8,5,,659,4495,247,530,175,7.2,5.5,6.4,,890
0500000US01065,"Hale County, Alabama",15159,955,1925,697,1364,9,5.5,5.4,,2683,7121,498,954,342,9.4,5.5,5.1,,1139,8038,450,965,354,8.7,5.4,5.6,,1543
